120	0.01518	0.01518	0.00616
125	0.01687	0.0171577	0.00679
130	0.01913	0.0193	0.0077
135	0.02086	0.0216137	0.00863
140	0.02374	0.0241053	0.00972
145	0.02593	0.0267813	0.01077
150	0.02854	0.0296484	0.01191
155	0.03151	0.0327132	0.01324
160	0.03765	0.0359822	0.0176
165	0.03835	0.0394621	0.01599
170	0.04192	0.0431593	0.01764
175	0.04618	0.0470806	0.01921
180	0.05084	0.0512325	0.0209
185	0.05473	0.0556216	0.02306
190	0.05919	0.0602544	0.02477
195	0.06458	0.0651376	0.02825
200	0.07069	0.0702778	0.02933
205	0.07888	0.0756815	0.03723
210	0.07988	0.0813553	0.03369
215	0.08637	0.0873059	0.03618
220	0.09292	0.0935397	0.03898
225	0.09885	0.100063	0.04201
230	0.105	0.106884	0.04447
235	0.11293	0.114007	0.04765
240	0.12257	0.12144	0.06132
245	0.12775	0.129189	0.05451
