0 	0.97 	-0.24309 	-0.97 	0.24309 	0 	0 	0.4662 	0.43237 	0.4662 	0.43237 	-0.93241 	-0.86473 	
0.00804 	0.97371 	-0.2396 	-0.96622 	0.24655 	-0.0074965 	-0.0069524 	0.45651 	0.43474 	0.476 	0.42986 	-0.93251 	-0.8646 	
0.016081 	0.97735 	-0.2361 	-0.96235 	0.25 	-0.014995 	-0.013903 	0.44692 	0.43699 	0.48591 	0.42721 	-0.93283 	-0.8642 	
0.02412 	0.9809 	-0.23257 	-0.9584 	0.25342 	-0.022497 	-0.020849 	0.43743 	0.43912 	0.49592 	0.42441 	-0.93336 	-0.86353 	
0.032158 	0.98438 	-0.22904 	-0.95438 	0.25682 	-0.030001 	-0.027786 	0.42806 	0.44113 	0.50603 	0.42147 	-0.93409 	-0.8626 	
0.040191 	0.98778 	-0.22549 	-0.95027 	0.2602 	-0.037508 	-0.034712 	0.41879 	0.44302 	0.51624 	0.41838 	-0.93503 	-0.8614 	
0.048219 	0.9911 	-0.22192 	-0.94609 	0.26354 	-0.045018 	-0.041621 	0.40964 	0.44481 	0.52654 	0.41513 	-0.93618 	-0.85994 	
0.056239 	0.99435 	-0.21835 	-0.94182 	0.26686 	-0.052532 	-0.048512 	0.40059 	0.44649 	0.53694 	0.41171 	-0.93753 	-0.8582 	
0.064251 	0.99753 	-0.21476 	-0.93748 	0.27014 	-0.060049 	-0.05538 	0.39166 	0.44807 	0.54742 	0.40813 	-0.93908 	-0.8562 	
0.072253 	1.0006 	-0.21117 	-0.93305 	0.27339 	-0.06757 	-0.062223 	0.38285 	0.44955 	0.55798 	0.40437 	-0.94083 	-0.85393 	
0.080243 	1.0036 	-0.20757 	-0.92855 	0.27661 	-0.075095 	-0.069036 	0.37414 	0.45095 	0.56863 	0.40044 	-0.94277 	-0.85139 	
0.08822 	1.0066 	-0.20397 	-0.92398 	0.27979 	-0.082624 	-0.075817 	0.36556 	0.45225 	0.57934 	0.39633 	-0.9449 	-0.84858 	
0.096182 	1.0095 	-0.20037 	-0.91932 	0.28293 	-0.090156 	-0.082562 	0.35708 	0.45348 	0.59012 	0.39202 	-0.9472 	-0.8455 	
0.10413 	1.0123 	-0.19676 	-0.91459 	0.28603 	-0.097693 	-0.089268 	0.34872 	0.45462 	0.60097 	0.38753 	-0.94969 	-0.84215 	
0.11206 	1.015 	-0.19315 	-0.90978 	0.28908 	-0.10523 	-0.095932 	0.34047 	0.45568 	0.61188 	0.38285 	-0.95235 	-0.83853 	
0.11997 	1.0177 	-0.18954 	-0.9049 	0.29209 	-0.11278 	-0.10255 	0.33234 	0.45668 	0.62283 	0.37796 	-0.95517 	-0.83464 	
0.12786 	1.0203 	-0.18593 	-0.89994 	0.29505 	-0.12032 	-0.10912 	0.32431 	0.45761 	0.63383 	0.37287 	-0.95815 	-0.83048 	
0.13573 	1.0228 	-0.18233 	-0.89491 	0.29797 	-0.12788 	-0.11564 	0.3164 	0.45847 	0.64487 	0.36758 	-0.96128 	-0.82604 	
0.14357 	1.0252 	-0.17873 	-0.88981 	0.30083 	-0.13543 	-0.1221 	0.3086 	0.45927 	0.65594 	0.36207 	-0.96455 	-0.82134 	
0.1514 	1.0276 	-0.17513 	-0.88463 	0.30364 	-0.14299 	-0.12851 	0.30091 	0.46001 	0.66704 	0.35635 	-0.96796 	-0.81637 	
0.15919 	1.0299 	-0.17154 	-0.87939 	0.30639 	-0.15055 	-0.13485 	0.29333 	0.4607 	0.67816 	0.35042 	-0.97149 	-0.81112 	
0.16697 	1.0322 	-0.16796 	-0.87407 	0.30909 	-0.15811 	-0.14114 	0.28586 	0.46133 	0.68929 	0.34427 	-0.97515 	-0.8056 	
0.17471 	1.0344 	-0.16438 	-0.86869 	0.31174 	-0.16568 	-0.14735 	0.27849 	0.46192 	0.70042 	0.3379 	-0.97891 	-0.79982 	
0.18243 	1.0365 	-0.16082 	-0.86324 	0.31432 	-0.17325 	-0.1535 	0.27123 	0.46246 	0.71155 	0.3313 	-0.98277 	-0.79377 	
0.19012 	1.0386 	-0.15726 	-0.85773 	0.31684 	-0.18082 	-0.15958 	0.26406 	0.46296 	0.72266 	0.32448 	-0.98673 	-0.78744 	
0.19778 	1.0405 	-0.15371 	-0.85215 	0.3193 	-0.1884 	-0.16559 	0.257 	0.46342 	0.73376 	0.31744 	-0.99077 	-0.78085 	
0.20541 	1.0425 	-0.15017 	-0.84651 	0.3217 	-0.19597 	-0.17152 	0.25004 	0.46384 	0.74483 	0.31016 	-0.99487 	-0.774 	
0.21301 	1.0444 	-0.14665 	-0.84081 	0.32402 	-0.20355 	-0.17738 	0.24318 	0.46422 	0.75586 	0.30266 	-0.99905 	-0.76688 	
0.22057 	1.0462 	-0.14313 	-0.83505 	0.32629 	-0.21112 	-0.18315 	0.23641 	0.46457 	0.76686 	0.29492 	-1.0033 	-0.75949 	
0.22811 	1.0479 	-0.13963 	-0.82922 	0.32848 	-0.2187 	-0.18885 	0.22974 	0.46489 	0.77779 	0.28696 	-1.0075 	-0.75185 	
0.23562 	1.0496 	-0.13614 	-0.82335 	0.3306 	-0.22628 	-0.19446 	0.22316 	0.46518 	0.78867 	0.27877 	-1.0118 	-0.74395 	
0.24309 	1.0513 	-0.13266 	-0.81741 	0.33266 	-0.23386 	-0.19999 	0.21667 	0.46544 	0.79948 	0.27034 	-1.0162 	-0.73579 	
0.25053 	1.0529 	-0.1292 	-0.81142 	0.33464 	-0.24144 	-0.20544 	0.21026 	0.46568 	0.81022 	0.26169 	-1.0205 	-0.72737 	
