0 	5.1202e+06 	11162 	6.7464e+05 	
0.94248 	5.1186e+06 	12256 	6.7516e+05 	
1.885 	5.1168e+06 	13457 	6.7574e+05 	
2.8274 	5.1149e+06 	14774 	6.7637e+05 	
3.7699 	5.1127e+06 	16220 	6.7706e+05 	
4.7124 	5.1104e+06 	17805 	6.7783e+05 	
5.6549 	5.1078e+06 	19545 	6.7866e+05 	
6.5973 	5.105e+06 	21453 	6.7958e+05 	
7.5398 	5.1019e+06 	23546 	6.8059e+05 	
8.4823 	5.0985e+06 	25840 	6.8169e+05 	
9.4248 	5.0947e+06 	28355 	6.8291e+05 	
10.367 	5.0906e+06 	31112 	6.8424e+05 	
11.31 	5.0862e+06 	34133 	6.857e+05 	
12.252 	5.0813e+06 	37442 	6.873e+05 	
13.195 	5.0759e+06 	41067 	6.8906e+05 	
14.137 	5.07e+06 	45036 	6.9099e+05 	
15.08 	5.0635e+06 	49380 	6.931e+05 	
16.022 	5.0564e+06 	54133 	6.9542e+05 	
16.965 	5.0487e+06 	59332 	6.9796e+05 	
17.907 	5.0402e+06 	65016 	7.0075e+05 	
18.85 	5.031e+06 	71228 	7.038e+05 	
19.792 	5.0208e+06 	78012 	7.0714e+05 	
20.735 	5.0098e+06 	85419 	7.108e+05 	
21.677 	4.9977e+06 	93500 	7.1481e+05 	
22.619 	4.9845e+06 	1.0231e+05 	7.192e+05 	
23.562 	4.9701e+06 	1.1191e+05 	7.2399e+05 	
24.504 	4.9544e+06 	1.2236e+05 	7.2924e+05 	
25.447 	4.9373e+06 	1.3373e+05 	7.3498e+05 	
26.389 	4.9187e+06 	1.4608e+05 	7.4125e+05 	
27.273 	4.8997e+06 	1.5863e+05 	7.4765e+05 	
28.097 	4.8807e+06 	1.7122e+05 	7.5411e+05 	
28.9 	4.8607e+06 	1.8437e+05 	7.609e+05 	
29.683 	4.8399e+06 	1.9807e+05 	7.6802e+05 	
30.447 	4.8182e+06 	2.1233e+05 	7.7548e+05 	
31.154 	4.7968e+06 	2.2632e+05 	7.8285e+05 	
31.842 	4.7748e+06 	2.4074e+05 	7.905e+05 	
32.514 	4.752e+06 	2.556e+05 	7.9844e+05 	
33.171 	4.7285e+06 	2.7088e+05 	8.0667e+05 	
33.814 	4.7042e+06 	2.866e+05 	8.1519e+05 	
34.444 	4.6792e+06 	3.0274e+05 	8.2402e+05 	
35.061 	4.6535e+06 	3.1932e+05 	8.3316e+05 	
35.636 	4.6285e+06 	3.3542e+05 	8.4212e+05 	
