0.1 	 469.13 	 8.82507e-05 
0.2 	 111.488 	 1.37039e-05 
0.3 	 47.0585 	 1.07604e-05 
0.4 	 25.1156 	 2.55653e-05 
0.5 	 15.2365 	 3.50497e-05 
0.6 	 10.0197 	 5.69569e-06 
0.7 	 6.96398 	 4.38945e-06 
0.8 	 5.03877 	 3.46449e-06 
0.9 	 3.75864 	 2.80582e-06 
1 	 2.87114 	 2.31698e-06 
1.1 	 2.23535 	 9.95947e-06 
1.2 	 1.76755 	 4.24134e-06 
1.3 	 1.41568 	 8.8054e-07 
1.4 	 1.14606 	 5.92999e-07 
1.5 	 0.936202 	 9.69839e-07 
1.6 	 0.770672 	 9.30568e-07 
1.7 	 0.638587 	 1.32041e-06 
1.8 	 0.532127 	 7.27764e-07 
1.9 	 0.44558 	 6.29025e-07 
2 	 0.374694 	 5.50795e-07 
2.1 	 0.316222 	 5.16747e-07 
2.2 	 0.267728 	 4.73e-07 
2.3 	 0.227293 	 4.34817e-07 
2.4 	 0.193416 	 1.0913e-06 
2.5 	 0.164922 	 4.94422e-06 
2.6 	 0.140872 	 3.13942e-07 
2.7 	 0.120505 	 2.80515e-07 
2.8 	 0.103202 	 2.53774e-07 
2.9 	 0.0885053 	 2.52678e-07 
3 	 0.0759734 	 3.39355e-07 
3.1 	 0.0652674 	 6.8102e-07 
3.2 	 0.0560898 	 1.66273e-06 
3.3 	 0.0482176 	 1.17047e-07 
3.4 	 0.0414614 	 9.88291e-08 
3.5 	 0.0356546 	 8.31813e-08 
3.6 	 0.0306627 	 7.09585e-08 
3.7 	 0.0263685 	 6.48608e-08 
3.8 	 0.0226715 	 7.28499e-08 
3.9 	 0.0194897 	 1.14442e-07 
4 	 0.0167497 	 2.32517e-07 
4.1 	 0.0143902 	 5.13035e-07 
4.2 	 0.0123585 	 1.11369e-06 
4.3 	 0.0106087 	 1.31494e-08 
4.4 	 0.00910199 	 9.38571e-09 
4.5 	 0.00780718 	 6.31124e-09 
4.6 	 0.00669119 	 4.1719e-09 
4.7 	 0.00573277 	 3.39715e-09 
4.8 	 0.00490797 	 5.16728e-09 
4.9 	 0.00419859 	 1.24585e-08 
5 	 0.00359083 	 3.1216e-08 
5.1 	 0.00306925 	 7.32301e-08 
5.2 	 0.00262074 	 1.60029e-07 
5.3 	 0.0022374 	 3.28276e-07 
5.4 	 0.00190748 	 6.39608e-07 
5.5 	 0.00162642 	 5.18123e-09 
5.6 	 0.00138539 	 5.26334e-09 
5.7 	 0.00117904 	 5.21367e-09 
5.8 	 0.00100339 	 5.05657e-09 
5.9 	 0.000852962 	 4.66903e-09 
6 	 0.000724448 	 3.81698e-09 
6.1 	 0.000614959 	 2.0726e-09 
6.2 	 0.000521923 	 1.66766e-09 
6.3 	 0.000442757 	 9.16197e-09 
6.4 	 0.000374922 	 2.39336e-08 
6.5 	 0.000317223 	 5.21291e-08 
6.6 	 0.000268391 	 1.04098e-07 
6.7 	 0.000226835 	 1.96216e-07 
6.8 	 0.000191565 	 3.4417e-09 
6.9 	 0.000161631 	 3.2331e-09 
7 	 0.000136155 	 3.03178e-09 
7.1 	 0.000114692 	 2.83202e-09 
7.2 	 9.64487e-05 	 2.58445e-09 
7.3 	 8.09985e-05 	 2.35758e-09 
7.4 	 6.79252e-05 	 2.00603e-09 
7.5 	 5.6874e-05 	 1.43388e-09 
7.6 	 4.74231e-05 	 3.43516e-10 
7.7 	 3.97289e-05 	 1.38376e-09 
7.8 	 3.3104e-05 	 4.94414e-09 
7.9 	 2.7336e-05 	 1.16329e-08 
8 	 2.24865e-05 	 2.33276e-08 
